"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@KoftheP will do. We love the #PeakDistrict #mtb trails, especially the Dark Peak area. Great idea - many thanks",FALSE,0,"KoftheP",2015-12-15 22:21:02,FALSE,"676874458792108034","676889729628037120","1060057345","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dirt_Factory",0,FALSE,FALSE,NA,NA
"2","RT @funkytownlondon: @notorious_vic5 @mrssaracduncan these things are awesome!!!! #Hunters #PeakDistrict",FALSE,0,NA,2015-12-15 22:12:41,FALSE,NA,"676887630009786368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrssaracduncan",1,TRUE,FALSE,NA,NA
"3","Beware the Peacocks! : ""The Strines Inn"" #hotel review! #Sheffield #PeakDistrict https://t.co/GGjWlQSqz6",FALSE,1,NA,2015-12-15 21:44:30,FALSE,NA,"676880537718534145",NA,"<a href=""http://barefoot-backpacker.com"" rel=""nofollow"">Barefoot Backpacker Website</a>","RTWBarefoot",0,FALSE,FALSE,NA,NA
"4","Peak when ur geology teacher is on countryfile in the PEAKdistrict lol he's called pete aswell lmao",FALSE,1,NA,2015-12-15 21:26:01,FALSE,NA,"676875883622359042",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Georgia_E_Bath",0,FALSE,FALSE,NA,NA
"5","RT @RodIsBike: Compelling evidence of stone age man building bicycles in the #PeakDistrict @pedalpeak #bike #stanage http://t.co/ayeEZsJ9tQ",FALSE,0,NA,2015-12-15 21:21:46,FALSE,NA,"676874817807785989",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HOOSIERS_BALL",8,TRUE,FALSE,NA,NA
"6","RT @Rosenrot213: The Buck Stone, Stanage #peakdistrict https://t.co/Mi88CxCqlp",FALSE,0,NA,2015-12-15 21:18:30,FALSE,NA,"676873994075672577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HOOSIERS_BALL",3,TRUE,FALSE,NA,NA
"7","RT @HollyMeadowFarm: #Derbyshire #PeakDistrict a bit of sunshine: thank you! https://t.co/4b8k8dCfJK",FALSE,0,NA,2015-12-15 21:15:10,FALSE,NA,"676873156393484288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cindiswestcoast",2,TRUE,FALSE,NA,NA
"8","RT @HollyMeadowFarm: #Derbyshire #PeakDistrict a bit of sunshine: thank you! https://t.co/4b8k8dCfJK",FALSE,0,NA,2015-12-15 21:14:57,FALSE,NA,"676873100399538176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","derbypromo",2,TRUE,FALSE,NA,NA
"9","IG: https://t.co/KWdEtZeq09 ""Today has been gloomy <ed><U+00A0><U+00BC><ed><U+00BC><U+008A> #sheffield #mood #rain #weather #peakdistrict #england #drive #gloomy #rainy #winter …",FALSE,0,NA,2015-12-15 21:14:16,FALSE,NA,"676872927804071936",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","imtheweatherguy",0,FALSE,FALSE,NA,NA
"10","RT @JonnyDouglas: Before you go to bed...
Tell your MP to vote against regulations to allow #fracking in National Parks
https://t.co/zyq41I…",FALSE,0,NA,2015-12-15 21:09:40,FALSE,NA,"676871771774017536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FixMyPC1",1,TRUE,FALSE,NA,NA
